GeneID	Patient1	Patient2	Patient3
10_at	5.826513075	5.812382509	5.962752431
100_at	4.849584538	4.410784917	4.964242321
1000_at	5.488922629	5.76555729	5.394642002
10000_at	5.935699616	6.181356672	6.160881207
10001_at	5.868706746	5.600401527	5.121878516
10002_at	6.382564795	6.521967424	6.61156798
10003_at	5.727341518	5.802879643	5.986202246
10004_at	5.751168904	5.656513318	5.569173814
100048912_at	6.760124713	6.735535726	6.550173928
10005_at	4.62252711	4.597937116	4.614902877
10006_at	6.20334658	6.115199867	6.183777727
10007_at	5.560043025	5.558912253	5.205887753
10009_at	6.737961433	6.925087376	7.295413577
1001_at	5.060055435	5.252867543	4.93835002
10010_at	6.647656856	6.570802372	6.470825989
100127886_at	5.414296739	5.500060054	5.503770477
100127972_at	5.264029668	5.655949851	4.971545219
100128008_at	3.965953636	3.755854051	3.883453649
100128062_at	5.787403485	5.84322114	6.337585848
100128414_at	3.550042151	3.530114328	3.802472037
100128919_at	5.699539944	5.834276159	6.507858869
100129015_at	6.65052654	6.459169658	6.321827217
100129128_at	6.937678169	6.654368379	6.790905208
100129250_at	5.449844619	5.610294855	5.554799201
100129271_at	6.427069663	6.620677854	6.138040845
100129361_at	4.737099711	4.89881319	4.737274052
100129410_at	6.25632191	5.969170482	7.058455773
100129482_at	5.244816803	5.701514205	5.605903503
100129500_at	5.417811244	5.166487746	5.070397451
100129503_at	3.812498886	3.629785333	3.784862623
100129624_at	5.336698587	5.405153625	5.373032442
100129656_at	6.125590464	6.147943641	6.132602911
100129668_at	5.774040739	5.795618357	5.773071595
100129686_at	3.245074402	4.010773792	3.736383985
100129762_at	4.638357798	4.811369528	4.554287253
100129973_at	6.644520287	6.206664198	6.049327115
10013_at	5.04568269	4.824684974	4.797755861
100130100_at	5.103223267	5.164679769	4.348899581
100130130_at	7.481430032	7.464587222	7.184453716
100130134_at	4.953018351	4.311965176	4.770876126
100130291_at	5.518460718	5.553690509	5.998226299
100130348_at	5.461181556	5.168745321	5.676563865
100130449_at	3.78543697	3.976312308	3.849821525
100130464_at	5.295250311	5.084824133	5.093535808
100130544_at	4.421835005	4.651353772	4.851675213
100130624_at	6.229441048	6.334507189	6.368144379
100130633_at	5.149334973	5.044804459	5.075088425
100130703_at	4.990764041	4.723404715	4.456916558
100130862_at	6.834014894	6.731755968	7.127097493
100131005_at	7.279382017	7.648940011	7.168016371
100131164_at	6.896651762	6.993384829	6.202771413
100131298_at	7.002121277	7.065898013	7.140397628
100131613_at	4.398915234	4.36839968	4.054807266
100132129_at	7.821312203	7.738857855	7.784479039
100132302_at	6.389526983	6.199720675	6.9379536
100132323_at	4.74788336	4.597435296	4.912471917
100132430_at	6.311287293	6.338504616	6.060820434
100132833_at	4.995462359	5.319658087	4.970670149
100133166_at	6.939188131	6.70535292	6.730515994
100133233_at	6.476739207	6.686235616	6.55992365
100133276_at	4.501148354	4.685276822	5.077296496
10014_at	4.679224762	5.218753203	4.856840069
10015_at	3.921727579	4.065914728	4.079359851
10016_at	5.853252437	6.167954533	5.946532486
10017_at	6.42148791	6.728621588	6.326117289
10018_at	4.843309479	4.471383667	4.962029449
10019_at	7.537361426	7.68697174	7.386045863
1002_at	3.905925616	3.571659461	4.238543018
10020_at	5.998211451	6.261199747	5.604735168
10021_at	5.531328202	6.062629569	5.564591364
10022_at	6.276125697	6.241653814	6.232558651
10023_at	3.724464339	3.82015874	3.354931117
10024_at	6.543280996	6.928438756	6.731016418
10025_at	6.455922263	6.446045419	6.279797575
10026_at	4.090454123	3.869968844	3.203325026
1003_at	6.780023874	6.736094397	6.693404362
10036_at	4.821460548	4.733196692	4.998874135
10038_at	5.679277707	5.769248541	5.701573467
10039_at	5.451117687	5.282158681	5.222299081
1004_at	4.573451168	4.586647257	4.593596779
10040_at	3.315056058	3.329773849	3.859838045
10042_at	6.047469585	5.7419562	5.923411795
10043_at	7.3270978	7.062860521	6.728959047
10045_at	5.375137365	5.711573216	5.590423295
10046_at	6.206839257	6.009398706	5.999631116
10047_at	4.337544917	4.236923898	4.000222446
10048_at	5.765980566	5.833134244	5.656991154
10049_at	4.827709736	4.906570094	4.708466098
1005_at	5.457925724	5.298082799	4.681936157
10050_at	5.217987115	5.312976809	4.594062008
10051_at	5.022716498	5.152558287	4.83446105
10052_at	5.767326421	5.395137889	5.951647668
10053_at	6.238561916	6.079196266	6.008444481
10054_at	2.978173707	3.15306865	3.056744165
10055_at	5.379737245	5.765466319	5.050465454
10057_at	5.3472622	5.345377965	5.489815965
10058_at	3.971665547	3.785064612	3.743342751
10059_at	5.934269896	5.986570668	6.092431284
1006_at	5.246473365	5.448393758	5.188623642
10060_at	6.194121236	6.024633671	5.972358072
10061_at	4.891035261	5.016753887	5.107495275
10062_at	3.78087779	3.801420963	3.895737381
10066_at	6.704644876	6.532141583	6.231507566
10067_at	5.757016411	5.988808981	6.07928109
10069_at	6.524830144	6.97170955	6.520679866
1007_at	7.157445204	6.910011667	7.258327843
10072_at	5.435438445	4.855114065	4.317892037
10073_at	5.693961065	5.498570871	5.615477622
10075_at	5.454923362	5.252552765	5.319829394
10076_at	3.61906615	3.477593506	3.063512337
10077_at	4.760615411	4.830920609	4.713593979
10078_at	5.391387229	5.615079598	5.123545956
10079_at	5.985391894	5.995097914	5.816415268
1008_at	6.300003568	6.561536027	6.794253594
10083_at	4.01499683	4.2336025	3.705723833
10084_at	4.807418109	5.341908761	4.868512955
10085_at	6.127598511	6.045773008	6.058981559
10086_at	10.9827057	10.18152904	10.2026522
10087_at	6.050861954	6.281403204	5.981641158
10089_at	5.97551399	5.973417354	5.78963035
1009_at	6.498714539	6.241398229	6.198354649
10090_at	5.13094811	4.958729293	5.102618518
10092_at	6.089727659	6.190226313	6.033515477
10093_at	6.295154157	6.356083808	6.153374906
10095_at	5.255709548	4.806324889	4.790459115
10096_at	5.901380101	5.759692761	5.772362107
10097_at	7.048471914	6.822114314	6.937246002
10098_at	4.547651882	4.407139447	4.360221606
10099_at	6.783237915	6.593309031	6.670652052
101_at	4.360163707	4.312884932	4.269302544
1010_at	6.305387969	6.456650101	6.113939454
10100_at	6.480949741	6.272092075	6.0124569
10101_at	6.215335784	5.806538963	6.020179415
10102_at	5.995094643	5.894430535	5.874297725
10103_at	5.997113918	6.14831267	5.692346803
10105_at	6.40545195	6.439129106	6.290110055
10106_at	7.195957757	7.505467515	6.885350264
10107_at	5.540518318	5.589377694	5.567623941
10109_at	5.741288401	5.786610588	5.467651863
10110_at	6.348147226	6.333695461	6.418206631
10111_at	6.026125029	6.137646297	5.848471132
10112_at	4.196322919	4.211557792	4.330484108
10113_at	5.910493249	5.670608065	5.786619669
10114_at	5.719379013	5.661870605	5.827277895
10116_at	6.894280072	7.176350054	7.078286145
1012_at	4.785615572	4.946572549	5.340883711
10120_at	6.800799936	7.034853045	7.157837237
10121_at	5.946949334	5.988808981	5.757772184
10123_at	3.604338244	3.745492223	3.579556456
10125_at	5.908122993	5.710705732	5.834634667
10126_at	5.875955461	6.140827629	5.938449626
10127_at	6.359681148	6.410416905	6.755280768
10128_at	5.331687299	5.432579584	5.092670838
10129_at	4.568316877	4.572808036	4.408044489
1013_at	6.129146227	6.198286556	6.299058724
10130_at	6.129758287	6.119749642	5.990460961
10131_at	5.462002347	5.297584196	5.562108645
10133_at	4.543024141	4.580329784	4.501786986
10134_at	5.461743058	4.934497263	4.996977178
10135_at	6.165606917	6.055429392	5.583664064
10136_at	7.347280652	7.22836747	7.341687082
10137_at	5.655740607	5.800041782	5.77926638
10138_at	6.606918195	6.278319664	6.074639794
10139_at	5.537462109	5.581642642	5.580169644
1014_at	5.481980689	5.377965356	5.36831596
10140_at	4.686481895	4.58955865	4.817888751
10141_at	6.089960997	5.990302372	6.035661143
10142_at	5.24642779	5.283859022	5.482793929
10144_at	5.763853658	5.762999083	5.539480342
10146_at	6.012274474	6.005830071	6.463508699
