GeneID	Patient4	Patient5	Patient6	Patient7	Patient8	Patient9	Patient10	Patient11	Patient12
10467_at	2.906744369	2.902403341	2.876275936	2.863292433	2.99205738	3.019094026	3.029536139	2.885635488	3.169263389
10376_at	3.024524325	3.247499683	2.867479845	3.040734978	3.024019907	3.040650475	3.353769962	3.084541119	3.092607123
10427_at	3.28616326	3.192642822	3.600886175	3.091638124	3.286230315	3.363795383	3.274332553	3.193150563	2.944668819
10054_at	3.300219633	3.017577027	3.000097348	3.303756533	2.807681537	2.920627446	3.511916955	3.077446693	3.178701254
10520_at	3.608240204	3.2804185	3.578522708	3.35597699	3.735443143	3.852666519	3.696069675	3.784540425	3.571497768
10199_at	3.878531267	3.449911981	3.457973087	3.366949447	3.588548536	3.54336952	3.451775615	3.68129103	3.447575381
1021_at	3.445983412	3.436818938	3.348994211	3.367658663	3.058241462	3.24491337	3.170715748	3.29993469	3.092624479
10480_at	3.350625822	3.802952544	3.7568839	3.371905041	3.446954815	3.552550697	3.350680315	3.573547158	3.417386615
10233_at	3.015523574	3.173390667	3.29815663	3.387522576	3.055787122	2.982106524	3.444356166	2.944680677	3.187104981
10040_at	3.817671733	3.778654887	3.503083871	3.395123257	3.482722744	3.435770034	3.661507954	4.209076921	3.593210703
10165_at	3.791063665	4.202071824	3.758102807	3.408189878	3.805268609	3.666543035	3.81643251	3.987621011	3.546340481
10533_at	3.238328404	3.558909556	3.3745396	3.409774794	3.157233482	3.217598284	3.313202903	3.459756755	3.40009494
10371_at	3.910697441	3.615525417	3.879570455	3.420565592	3.730909681	3.587772278	3.773695445	3.635807574	3.839208157
10269_at	3.63103286	3.6929959	3.259583438	3.471891407	3.503121426	3.537721216	3.463908307	3.338490297	3.672378301
10207_at	3.613169375	3.407905736	3.51638001	3.483083905	3.397697456	3.443850355	3.516556365	3.412850825	3.550333037
10180_at	3.437020755	3.090976653	4.010651965	3.567336578	3.794554071	3.628461281	3.821071155	3.921523799	3.877701094
10058_at	3.711818885	3.856864694	3.852008458	3.572660009	4.013480779	3.465952679	3.977129114	3.6214709	3.671748346
10325_at	3.24294515	3.54285388	3.643727203	3.585480201	3.466577147	3.800020479	3.744339662	3.26267777	3.254590716
10237_at	4.122524025	3.954272151	4.235250005	3.605886631	4.079059172	4.16996192	4.107561624	4.081445889	4.146038552
100128008_at	4.051056281	3.834343512	3.77950279	3.621231132	3.944766137	3.922209085	3.806023969	3.807588959	3.677824906
10062_at	4.164726928	4.257851461	3.753315681	3.650965888	3.966030021	3.975134213	3.875814547	3.795753537	3.878577984
10403_at	3.842554208	3.458894862	3.405367253	3.691242595	3.627084829	3.841392409	3.902563947	3.775567788	3.672784643
10076_at	3.603491532	3.579338702	3.601862189	3.695165258	3.475634159	3.343312979	3.310543742	3.371260743	3.688130135
10123_at	3.727332565	3.667384841	3.639952816	3.696727887	3.45167836	3.67222015	3.765282756	3.679216729	3.757450945
1002_at	3.799229235	3.999533467	3.513865912	3.697544687	4.022390871	3.913252328	4.23488645	3.878696303	3.702489911
10023_at	3.376693294	3.696725821	3.484721539	3.699073868	3.675375996	3.67224591	3.77729521	3.814580243	3.587105787
10278_at	3.666684087	3.954129326	3.88226318	3.702070294	3.781427442	3.90550319	3.69729009	3.835417314	3.872415649
10015_at	3.765483115	4.041046394	4.183203326	3.712754055	4.100885175	3.964506131	4.091597279	3.981465977	3.96960514
100128414_at	3.699614553	3.445453194	3.740609612	3.744194799	3.681971334	3.635372116	3.521369592	3.346702297	3.427648263
1016_at	3.885152976	3.298891225	3.794090556	3.781506051	4.241749705	4.053560751	3.743270361	4.022998433	3.637663548
10253_at	3.631649679	3.975251076	4.016738324	3.817471822	4.075269653	4.198554853	4.16092856	4.645870793	4.026814255
10083_at	3.913133382	3.707760549	4.051251698	3.867030958	4.042856964	3.933901488	4.018557116	3.749557326	3.922435977
10419_at	4.2391012	4.486880488	4.245423844	3.88786061	3.970589549	3.364992369	4.112984212	3.964361651	3.704536309
10225_at	4.079843376	4.139491755	4.169617754	3.891819748	4.247870193	4.049223637	3.908045577	4.277239653	4.051737697
10449_at	3.347098853	4.022558186	3.645781976	3.903249074	3.410914444	3.511514183	4.09089567	4.081502093	3.761139811
10457_at	3.89568553	3.791974302	3.927690897	3.912649061	3.888103136	3.775370771	3.821405076	3.91446302	3.850179686
10272_at	3.891165591	3.977856377	4.007845134	3.924286737	4.080444526	4.178843464	4.170839089	4.125365213	4.318550782
10227_at	3.52681681	3.811938288	3.844959876	3.974463244	3.520148069	3.66020628	3.676409266	3.618759724	3.746467161
10392_at	3.730623417	3.703046648	3.82039215	3.976805222	3.791689546	3.779558086	4.018340643	3.805935185	3.674706805
